season;strata;sex;age;КС;НП;ПО;count
2020/2021;Мужчины, 50‒79;Мужчины;50‒79;0;0;0;0
2020/2021;Мужчины, 50‒79;Мужчины;50‒79;0;0;1;95
2020/2021;Мужчины, 50‒79;Мужчины;50‒79;0;1;0;64
2020/2021;Мужчины, 50‒79;Мужчины;50‒79;0;1;1;13
2020/2021;Мужчины, 50‒79;Мужчины;50‒79;1;0;0;180
2020/2021;Мужчины, 50‒79;Мужчины;50‒79;1;0;1;23
2020/2021;Мужчины, 50‒79;Мужчины;50‒79;1;1;0;21
2020/2021;Мужчины, 50‒79;Мужчины;50‒79;1;1;1;28
2021/2022;Женщины, 18‒34;Женщины;18‒34;0;0;0;0
2021/2022;Женщины, 18‒34;Женщины;18‒34;0;0;1;4
2021/2022;Женщины, 18‒34;Женщины;18‒34;0;1;0;14
2021/2022;Женщины, 18‒34;Женщины;18‒34;0;1;1;0
2021/2022;Женщины, 18‒34;Женщины;18‒34;1;0;0;10
2021/2022;Женщины, 18‒34;Женщины;18‒34;1;0;1;2
2021/2022;Женщины, 18‒34;Женщины;18‒34;1;1;0;5
2021/2022;Женщины, 18‒34;Женщины;18‒34;1;1;1;3
2021/2022;Женщины, 35‒49;Женщины;35‒49;0;0;0;0
2021/2022;Женщины, 35‒49;Женщины;35‒49;0;0;1;20
2021/2022;Женщины, 35‒49;Женщины;35‒49;0;1;0;15
2021/2022;Женщины, 35‒49;Женщины;35‒49;0;1;1;3
2021/2022;Женщины, 35‒49;Женщины;35‒49;1;0;0;33
2021/2022;Женщины, 35‒49;Женщины;35‒49;1;0;1;1
2021/2022;Женщины, 35‒49;Женщины;35‒49;1;1;0;12
2021/2022;Женщины, 35‒49;Женщины;35‒49;1;1;1;4
2021/2022;Женщины, 50‒79;Женщины;50‒79;0;0;0;0
2021/2022;Женщины, 50‒79;Женщины;50‒79;0;0;1;16
2021/2022;Женщины, 50‒79;Женщины;50‒79;0;1;0;15
2021/2022;Женщины, 50‒79;Женщины;50‒79;0;1;1;3
2021/2022;Женщины, 50‒79;Женщины;50‒79;1;0;0;36
2021/2022;Женщины, 50‒79;Женщины;50‒79;1;0;1;3
2021/2022;Женщины, 50‒79;Женщины;50‒79;1;1;0;8
2021/2022;Женщины, 50‒79;Женщины;50‒79;1;1;1;2
2021/2022;Мужчины, 18‒34;Мужчины;18‒34;0;0;0;0
2021/2022;Мужчины, 18‒34;Мужчины;18‒34;0;0;1;94
2021/2022;Мужчины, 18‒34;Мужчины;18‒34;0;1;0;33
2021/2022;Мужчины, 18‒34;Мужчины;18‒34;0;1;1;14
2021/2022;Мужчины, 18‒34;Мужчины;18‒34;1;0;0;80
2021/2022;Мужчины, 18‒34;Мужчины;18‒34;1;0;1;26
2021/2022;Мужчины, 18‒34;Мужчины;18‒34;1;1;0;16
2021/2022;Мужчины, 18‒34;Мужчины;18‒34;1;1;1;23
2021/2022;Мужчины, 35‒49;Мужчины;35‒49;0;0;0;0
2021/2022;Мужчины, 35‒49;Мужчины;35‒49;0;0;1;189
2021/2022;Мужчины, 35‒49;Мужчины;35‒49;0;1;0;88
2021/2022;Мужчины, 35‒49;Мужчины;35‒49;0;1;1;30
2021/2022;Мужчины, 35‒49;Мужчины;35‒49;1;0;0;196
2021/2022;Мужчины, 35‒49;Мужчины;35‒49;1;0;1;63
2021/2022;Мужчины, 35‒49;Мужчины;35‒49;1;1;0;38
2021/2022;Мужчины, 35‒49;Мужчины;35‒49;1;1;1;32
2021/2022;Мужчины, 50‒79;Мужчины;50‒79;0;0;0;0
2021/2022;Мужчины, 50‒79;Мужчины;50‒79;0;0;1;109
2021/2022;Мужчины, 50‒79;Мужчины;50‒79;0;1;0;57
2021/2022;Мужчины, 50‒79;Мужчины;50‒79;0;1;1;17
2021/2022;Мужчины, 50‒79;Мужчины;50‒79;1;0;0;177
2021/2022;Мужчины, 50‒79;Мужчины;50‒79;1;0;1;44
2021/2022;Мужчины, 50‒79;Мужчины;50‒79;1;1;0;23
2021/2022;Мужчины, 50‒79;Мужчины;50‒79;1;1;1;14
2022/2023;Женщины, 18‒34;Женщины;18‒34;0;0;0;0
2022/2023;Женщины, 18‒34;Женщины;18‒34;0;0;1;10
2022/2023;Женщины, 18‒34;Женщины;18‒34;0;1;0;5
2022/2023;Женщины, 18‒34;Женщины;18‒34;0;1;1;0
2022/2023;Женщины, 18‒34;Женщины;18‒34;1;0;0;14
2022/2023;Женщины, 18‒34;Женщины;18‒34;1;0;1;2
2022/2023;Женщины, 18‒34;Женщины;18‒34;1;1;0;3
2022/2023;Женщины, 18‒34;Женщины;18‒34;1;1;1;2
2022/2023;Женщины, 35‒49;Женщины;35‒49;0;0;0;0
2022/2023;Женщины, 35‒49;Женщины;35‒49;0;0;1;20
2022/2023;Женщины, 35‒49;Женщины;35‒49;0;1;0;9
2022/2023;Женщины, 35‒49;Женщины;35‒49;0;1;1;1
2022/2023;Женщины, 35‒49;Женщины;35‒49;1;0;0;27
2022/2023;Женщины, 35‒49;Женщины;35‒49;1;0;1;9
2022/2023;Женщины, 35‒49;Женщины;35‒49;1;1;0;7
2022/2023;Женщины, 35‒49;Женщины;35‒49;1;1;1;3
2022/2023;Женщины, 50‒79;Женщины;50‒79;0;0;0;0
2022/2023;Женщины, 50‒79;Женщины;50‒79;0;0;1;25
2022/2023;Женщины, 50‒79;Женщины;50‒79;0;1;0;7
2022/2023;Женщины, 50‒79;Женщины;50‒79;0;1;1;1
2022/2023;Женщины, 50‒79;Женщины;50‒79;1;0;0;44
2022/2023;Женщины, 50‒79;Женщины;50‒79;1;0;1;5
2022/2023;Женщины, 50‒79;Женщины;50‒79;1;1;0;10
2022/2023;Женщины, 50‒79;Женщины;50‒79;1;1;1;4
2022/2023;Мужчины, 18‒34;Мужчины;18‒34;0;0;0;0
2022/2023;Мужчины, 18‒34;Мужчины;18‒34;0;0;1;91
2022/2023;Мужчины, 18‒34;Мужчины;18‒34;0;1;0;33
2022/2023;Мужчины, 18‒34;Мужчины;18‒34;0;1;1;11
2022/2023;Мужчины, 18‒34;Мужчины;18‒34;1;0;0;86
2022/2023;Мужчины, 18‒34;Мужчины;18‒34;1;0;1;24
2022/2023;Мужчины, 18‒34;Мужчины;18‒34;1;1;0;21
2022/2023;Мужчины, 18‒34;Мужчины;18‒34;1;1;1;12
2022/2023;Мужчины, 35‒49;Мужчины;35‒49;0;0;0;0
2022/2023;Мужчины, 35‒49;Мужчины;35‒49;0;0;1;170
2022/2023;Мужчины, 35‒49;Мужчины;35‒49;0;1;0;68
2022/2023;Мужчины, 35‒49;Мужчины;35‒49;0;1;1;19
2022/2023;Мужчины, 35‒49;Мужчины;35‒49;1;0;0;177
2022/2023;Мужчины, 35‒49;Мужчины;35‒49;1;0;1;76
2022/2023;Мужчины, 35‒49;Мужчины;35‒49;1;1;0;31
2022/2023;Мужчины, 35‒49;Мужчины;35‒49;1;1;1;16
2022/2023;Мужчины, 50‒79;Мужчины;50‒79;0;0;0;0
2022/2023;Мужчины, 50‒79;Мужчины;50‒79;0;0;1;100
2022/2023;Мужчины, 50‒79;Мужчины;50‒79;0;1;0;55
2022/2023;Мужчины, 50‒79;Мужчины;50‒79;0;1;1;13
