year_season;strata;sex;age;obs;unobs;est;ci_lower;ci_upper;method;degenerate_share;n_boot_used
2020/2021;Мужчины, 35‒49;Мужчины;35‒49;537;657;1194;1038;1394;loglin_nonsaturated;;
2020/2021;Мужчины, 35‒49;Мужчины;35‒49;537;2176;2713;1855;4227;loglin_saturated;;
2020/2021;Мужчины, 35‒49;Мужчины;35‒49;537;763;1300;1130;1546;zelterman;0.0;1000.0
2020/2021;Мужчины, 50‒79;Мужчины;50‒79;424;1008;1432;1165;1848;chao;0.0;1000.0
2020/2021;Мужчины, 50‒79;Мужчины;50‒79;424;427;851;734;1000;loglin_nonsaturated;;
2020/2021;Мужчины, 50‒79;Мужчины;50‒79;424;1415;1839;1248;2869;loglin_saturated;;
2020/2021;Мужчины, 50‒79;Мужчины;50‒79;424;1061;1485;1195;1926;zelterman;0.0;1000.0
2021/2022;total;total;total;1572;2298;3870;3595;4342;chao;0.0;999.0
2021/2022;total;total;total;1572;1653;3225;2875;3652;loglin_nonsaturated;;
2021/2022;total;total;total;1572;4189;5761;4283;8340;loglin_saturated;;
2021/2022;total;total;total;1572;2321;3893;3597;4395;zelterman;0.0;999.0
2021/2022;Женщины;Женщины;total;209;361;570;463;838;chao;0.0;999.0
2021/2022;Женщины;Женщины;total;209;249;458;375;557;loglin_nonsaturated;;
2021/2022;Женщины;Женщины;total;209;632;841;587;1284;loglin_saturated;;
2021/2022;Женщины;Женщины;total;209;365;574;460;857;zelterman;0.0;999.0
2021/2022;Женщины, 18‒34;Женщины;18‒34;38;56;94;60;220;chao;0.0;999.0
2021/2022;Женщины, 18‒34;Женщины;18‒34;38;42;80;65;106;loglin_nonsaturated;;
2021/2022;Женщины, 18‒34;Женщины;18‒34;38;106;144;103;226;loglin_saturated;;
2021/2022;Женщины, 18‒34;Женщины;18‒34;38;59;97;60;229;zelterman;0.0;999.0
2021/2022;Женщины, 35‒49;Женщины;35‒49;88;145;233;169;384;chao;0.0;1000.0
2021/2022;Женщины, 35‒49;Женщины;35‒49;88;108;196;164;249;loglin_nonsaturated;;
2021/2022;Женщины, 35‒49;Женщины;35‒49;88;275;363;258;565;loglin_saturated;;
2021/2022;Женщины, 35‒49;Женщины;35‒49;88;146;234;166;403;zelterman;0.0;1000.0
2021/2022;Женщины, 50‒79;Женщины;50‒79;83;160;243;176;435;chao;0.0;1000.0
2021/2022;Женщины, 50‒79;Женщины;50‒79;83;99;182;134;212;loglin_nonsaturated;;
